Citations,Means,Papers,STD,Schools,Variance
267586,12.896332353366427,20749,38.01124935961423,Berkeley,6.165326379001701
62853,5.456463234655786,11519,11.804583857319418,UVA,3.4357799489081686
123714,7.813680288006063,15833,17.169067563455933,UNC,4.143557356119972
231009,8.31326471858356,27788,17.38816496744394,UCLA,4.1699118656686185
4006,6.201238390092879,646,9.659195638659295,WM,3.1079246513806114
182,5.6875,32,13.521828417414563,GIT,3.677203885755393
31977,5.599194536858694,5711,14.753336144237515,PSU,3.841007178363185
77631,10.596642096642096,7326,25.07801933908647,UCSD,5.007795856370992
8622,4.795328142380423,1798,12.950463521675315,UCD,3.598675245375069
7678,7.534838076545633,1019,12.909419207199262,UCSB,3.5929680220117826
50595,7.963954037462616,6353,23.22773987051538,WISC,4.819516559834127
28673,8.083732731886101,3547,15.851511169777016,UCI,3.981395630903442
32121,4.883837615934317,6577,9.981290479587708,UFL,3.1593180402719363
21454,5.467380224260959,3924,19.726563693536022,OSU,4.441459635473008
14879,6.548855633802817,2272,16.299283027530834,UTexas,4.037237053670596
7588,6.0126782884310614,1262,11.843197581729765,UCONN,3.441394714607693
176427,7.798223125884017,22624,20.149781570473678,UMICH,4.4888508073307225
29320,7.239506172839506,4050,15.827165886634859,UIUC,3.97833707554235
